SK_ID_CURR,DAYS_CREDIT,CREDIT_DAY_OVERDUE,DAYS_CREDIT_ENDDATE,DAYS_ENDDATE_FACT,AMT_CREDIT_MAX_OVERDUE,CNT_CREDIT_PROLONG,AMT_CREDIT_SUM,AMT_CREDIT_SUM_DEBT,AMT_CREDIT_SUM_LIMIT,AMT_CREDIT_SUM_OVERDUE,DAYS_CREDIT_UPDATE,AMT_ANNUITY
100786,-1513.6666666666667,0.0,1060.0,-1368.0,0.0,0.0,279264.75,800235.0,0.0,0.0,-6.0,5231.595
100788,-433.0,0.0,537.0,-550.0,0.0,0.0,501015.0,110997.0,0.0,0.0,-4.0,28845.0
100805,-616.0,0.0,845.0,,,0.0,1744902.0,1214676.0,0.0,0.0,-55.0,
100811,-684.0,0.0,672.0,-593.5,,0.0,458302.5,0.0,0.0,0.0,-267.0,
100855,-447.14285714285717,0.0,987.0,-354.75,36434.925,0.0,291983.70857142855,0.0,0.0,0.0,-16.0,750.0
100895,,,,,,0.0,,0.0,,0.0,,
100939,-623.6666666666666,0.0,27505.0,,1119.285,1.0,131250.0,294961.5,14701.5,0.0,-2.0,
101060,-1026.0,0.0,1331.0,-1572.0,0.0,0.0,173509.43625,882069.9299999999,67709.565,0.0,-7.0,0.0
101083,-1086.1666666666667,0.0,1228.0,-1180.0,0.0,0.0,45712.875,0.0,4.5,0.0,-579.0,
101209,-1566.6666666666667,0.0,1407.0,-969.0,16039.395,0.0,973550.25,1838322.0,0.0,0.0,-7.0,
101229,-502.0,0.0,1024.0,-579.5,0.0,0.0,224895.0,114606.0,0.0,0.0,-20.0,
101278,-964.75,0.0,1331.0,-869.7142857142857,,0.0,163631.25,243891.81,0.0,0.0,-16.0,0.0
101375,-1617.6,0.0,325.0,-1459.75,0.0,0.0,193829.832,142794.0,0.0,0.0,-5.0,
101390,,,,,,0.0,,0.0,,0.0,,
101391,-636.9,32.0,1715.0,-562.3333333333334,,0.0,526997.7,1309464.0,0.0,783.0,-8.0,20078.1
101396,-2293.0,0.0,-1898.0,-1926.0,5040.0,0.0,50582.7,0.0,0.0,0.0,-1926.0,
101405,-1685.142857142857,0.0,30972.0,-1246.6666666666667,0.0,0.0,346289.46428571426,125401.5,0.0,0.0,-6.0,1556.357142857143
101458,-98.0,0.0,1728.0,,0.0,0.0,1611000.0,1596821.355,0.0,0.0,-66.0,43132.5
101483,-1811.0,0.0,732.0,-1475.0,26113.5,0.0,297695.25,455890.5,0.0,0.0,-7.0,
101524,-1535.142857142857,0.0,755.0,-1374.75,,0.0,614505.2142857143,1390477.5,0.0,0.0,-6.0,14350.425000000001
101540,-2241.0,0.0,-1805.0,-1978.0,0.0,0.0,61875.0,0.0,0.0,0.0,-1796.0,
101546,,,,,,0.0,,0.0,,0.0,,
101619,-1271.6666666666667,0.0,10211.0,-428.0,0.0,0.0,4050000.0,2697322.095,180.405,0.0,-108.0,
101661,-687.2,0.0,30818.0,-743.0,0.0,0.0,256234.5,605242.485,0.0,0.0,-17.0,6526.395
101702,-1420.0,0.0,1211.0,-1304.5,0.0,0.0,367910.8907142857,742216.5,,0.0,-5.0,
101709,-2419.5555555555557,0.0,31116.0,-1542.857142857143,16267.5,1.0,163153.0,195912.0,270000.0,0.0,-182.0,
101843,-461.5,0.0,395.0,-346.0,0.0,0.0,479464.875,877338.0,0.0,0.0,-12.0,1011.04875
101865,-864.6,0.0,31127.0,-929.0,,0.0,693675.0,0.0,0.0,0.0,-35.0,
101888,-183.0,0.0,1036.0,,,0.0,787500.0,1079770.5,0.0,0.0,-22.0,
101939,-1796.8333333333333,0.0,9156.0,-691.6666666666666,53046.0,1.0,509976.6675,0.0,0.0,0.0,-35.0,
101945,-1474.5,0.0,372.0,-1207.0,,0.0,546772.5,0.0,0.0,0.0,-19.0,
102071,-1626.3333333333333,0.0,679.0,-1401.8,0.0,0.0,39844.5,0.0,0.0,0.0,-20.0,
102209,-740.0,0.0,-589.0,-589.0,0.0,0.0,277020.0,0.0,0.0,0.0,-584.0,
102219,-924.7142857142857,0.0,27305.0,-779.0,0.0,0.0,337798.0157142857,874983.1950000001,45553.455,0.0,-9.0,21857.14285714286
102229,-1781.4,0.0,-130.0,-1312.2222222222222,20816.64,0.0,237046.79699999996,0.0,91800.0,0.0,-124.0,918.0
102240,-289.0,0.0,121.0,-305.0,,0.0,65099.88,61540.335,,0.0,-14.0,
102260,-606.75,0.0,27529.0,-496.0,0.0,1.0,385210.125,2011501.305,565.065,0.0,-7.0,
102263,-721.3333333333334,0.0,1233.0,-563.0,0.0,0.0,247986.75,870880.5,0.0,0.0,-4.0,2797.5
102282,,,,,,0.0,,0.0,,0.0,,
102330,-661.1428571428571,0.0,798.0,-586.8333333333334,4950.0,0.0,64101.94714285714,96979.5,0.0,0.0,-9.0,
102350,-1919.125,0.0,3155.0,-1969.6,360.0,0.0,217464.8625,624591.0,0.0,0.0,-2.0,
102351,-988.6666666666666,0.0,12831.0,-578.3333333333334,,0.0,555000.0,0.0,0.0,0.0,-228.0,
102358,-968.2,0.0,571.0,-700.0,0.0,0.0,349191.0,205650.0,0.0,0.0,-18.0,13365.0
102412,-730.6666666666666,0.0,1331.0,-733.0,,0.0,1142378.25,0.0,0.0,0.0,-126.0,
102490,,,,,,0.0,,0.0,,0.0,,
102553,-1690.8333333333333,0.0,818.0,-1402.1818181818182,18274.5,0.0,218744.5875,137556.0,0.0,0.0,-12.0,3295.9478571428567
102587,-1270.2,0.0,3227.0,-1002.0,,0.0,382689.0,252274.5,0.0,0.0,-10.0,0.0
102654,-1317.5,0.0,849.0,-1476.0,,0.0,1388517.75,1414737.0,0.0,0.0,-28.0,29034.0
102686,-1625.2,0.0,1355.0,-1645.0833333333333,36.0,0.0,277949.433,2788983.0,0.0,0.0,-10.0,
102739,-532.0,0.0,586.0,,,0.0,22500.0,0.0,,0.0,-20.0,
102765,-1318.3333333333333,0.0,-257.0,-1171.5,8851.905,0.0,795000.0,224887.5,0.0,0.0,-35.0,
102794,-1724.8333333333333,0.0,9154.0,-1618.0,35401.5,3.0,511943.25,700443.0,0.0,0.0,-17.0,
102893,-1565.3636363636363,0.0,2009.0,-1345.0,0.0,0.0,735760.2272727273,2397406.5,0.0,0.0,-8.0,4556.454545454545
102937,-470.0,0.0,626.0,,,0.0,2025000.0,1302498.0,,0.0,-21.0,
102951,-479.0,0.0,10478.0,,,0.0,6727500.0,4884327.0,0.0,0.0,-57.0,
103006,-1946.0,0.0,860.0,-1925.5,,0.0,885000.0,1175967.0,0.0,0.0,-16.0,34566.0
103011,-1714.0,0.0,1218.0,-1624.4,0.0,0.0,301649.10000000003,31243.5,0.0,0.0,-37.0,
103084,-975.25,0.0,3994.0,-652.0,0.0,0.0,3766715.505,12471939.0,0.0,0.0,-24.0,
103093,-897.4,0.0,31075.0,-1201.5,37715.4,0.0,170001.9,225972.0,0.0,0.0,-16.0,
103162,-1409.6,0.0,589.0,-1227.2857142857142,11278.215,0.0,319700.385,436441.5,0.0,0.0,-16.0,
103164,-1578.9,0.0,1678.0,-1499.4285714285713,0.0,0.0,180419.4,958216.5,0.0,0.0,-21.0,
103183,-1573.5,0.0,978.0,-466.0,,0.0,450000.0,187366.5,0.0,0.0,-52.0,
103263,-1340.857142857143,0.0,1364.0,-1479.0,,0.0,391821.4285714286,1747966.5,0.0,0.0,-54.0,
103350,-1373.3333333333333,0.0,692.0,-1020.0,,0.0,1110693.0,1569622.5,0.0,0.0,-19.0,0.0
103379,-1606.1538461538462,0.0,585.0,-1252.75,0.0,0.0,142946.1,0.0,0.0,0.0,-11.0,
103409,-1613.0555555555557,0.0,31139.0,-1118.9285714285713,38197.125,1.0,310602.0,-750.0150000000001,846713.7,0.0,-5.0,
103510,-1654.5,0.0,-389.0,-829.5,256.5,0.0,1302759.0,0.0,0.0,0.0,-386.0,
103519,-769.125,0.0,1524.0,-669.1666666666666,0.0,0.0,368324.55,0.0,0.0,0.0,-4.0,
103707,-1750.6,1703.0,1189.0,-1764.8333333333333,18405.0,0.0,226927.35,159466.5,450000.0,54.0,-12.0,
103732,,,,,,0.0,,0.0,,0.0,,
103741,,,,,,0.0,,0.0,,0.0,,
103909,-2362.0,0.0,-2118.0,-1958.0,5841.0,0.0,19773.0,0.0,,0.0,-1956.0,
104020,-330.25,0.0,1039.0,-531.0,0.0,0.0,311539.2975,216220.5,7316.415,0.0,-24.0,42147.0
104038,-1704.6666666666667,0.0,30933.0,-1435.3529411764705,85257.0,0.0,1252111.2857142857,8212.5,0.0,0.0,-7.0,41162.46428571428
104064,-826.6666666666666,0.0,1604.0,-882.6,0.0,0.0,255517.84999999998,1193495.13,0.0,0.0,-8.0,
104068,,,,,,0.0,,0.0,,0.0,,
104100,-332.0,0.0,984.0,-11.0,0.0,0.0,139036.5,152878.5,0.0,0.0,-11.0,
104137,-1310.2727272727273,0.0,1537.0,-877.4444444444445,0.0,0.0,243900.81818181818,1084563.0,0.0,0.0,-49.0,
104256,-1270.0,0.0,737.0,,,0.0,417060.0,1353456.0,0.0,0.0,-10.0,
104268,-1160.8333333333333,0.0,1193.0,-874.75,0.0,0.0,538736.25,640156.5,0.0,0.0,-27.0,17104.5
104300,-1764.2222222222222,0.0,596.0,-1618.875,42498.0,0.0,249294.5,33930.0,0.0,0.0,-21.0,8520.0
104335,-2088.5,0.0,-32.0,-1230.0,,0.0,466803.0,0.0,0.0,0.0,-556.0,7155.0
104362,-730.3333333333334,0.0,1071.0,-450.0,,0.0,946914.0,114322.5,0.0,0.0,-21.0,
104371,-1462.8333333333333,0.0,991.0,-1462.0,0.0,0.0,462512.25,161325.0,0.0,0.0,-28.0,
104375,-866.7777777777778,0.0,1443.0,-689.6666666666666,8596.8,0.0,277309.375,1264482.0,0.0,0.0,-7.0,
104392,-732.6,0.0,31166.0,-542.5,0.0,0.0,128593.90800000001,73894.5,0.0,0.0,-16.0,
104415,-1319.9,0.0,1536.0,-974.375,0.0,0.0,197158.095,619686.0,0.0,0.0,-53.0,
104421,-979.25,0.0,879.0,-889.0,,0.0,436079.25,127260.0,0.0,0.0,-11.0,45000.0
104495,-1402.6666666666667,0.0,1051.0,-1007.0,,0.0,102019.26000000001,0.0,0.0,0.0,-35.0,
104612,-1338.0,0.0,-614.0,-614.0,0.0,0.0,21330.0,0.0,0.0,0.0,-203.0,
104651,-2004.3333333333333,0.0,31064.0,-2275.5,,0.0,453000.0,233995.5,0.0,0.0,-14.0,
104709,-1158.0,0.0,1146.0,-972.0,,0.0,1449016.5,2364349.5,0.0,0.0,-18.0,
104736,-548.2,0.0,1281.0,-476.0,17597.7,0.0,431545.968,1721034.135,0.0,0.0,-16.0,30458.25
104788,-477.8,0.0,315.0,-1007.0,0.0,0.0,209908.70100000003,512343.0,318352.59,0.0,-8.0,18383.805
104885,-1491.0,0.0,352.0,-813.0,,0.0,326250.0,100422.0,0.0,0.0,-38.0,0.0
104929,-1249.5,0.0,3598.0,-828.6470588235294,17194.5,0.0,195185.5875,1422666.0,243.27,0.0,-26.0,
104948,-779.1666666666666,0.0,1641.0,-977.0,0.0,0.0,235074.0,1152643.5,8429.625,0.0,-9.0,
104967,-1593.5,0.0,342.0,-1771.0,,0.0,396658.5,554823.0,0.0,0.0,-7.0,
105000,-1083.5,0.0,4829.0,-981.0,0.0,0.0,2061071.4375,7843810.5,0.0,0.0,-39.0,101272.5
105024,-450.0,0.0,31087.0,-283.0,2089.26,2.0,125751.375,249107.58000000002,63000.0,0.0,-3.0,112.5
105076,-1986.5454545454545,0.0,9908.0,-1220.375,51700.5,6.0,566535.2318181818,0.0,0.0,0.0,-3.0,
105077,-314.0,0.0,459.0,-246.5,1800.0,0.0,105757.96500000001,176637.735,0.0,0.0,-15.0,0.0
105157,-1421.6,0.0,89.0,-1191.0,8917.65,0.0,98831.7,5116.5,0.0,0.0,-133.0,
105201,,,,,,0.0,,0.0,,0.0,,
105214,-578.0,0.0,869.0,,,0.0,1470586.5,984451.5,0.0,0.0,-9.0,40689.0
105243,-1788.6666666666667,0.0,-550.0,-1809.0,,0.0,35156.025,0.0,0.0,0.0,-7.0,
105290,-1030.125,0.0,0.0,-918.5714285714286,,0.0,87142.095,358321.5,0.0,0.0,-1.0,0.0
105428,-726.0,0.0,-488.0,-680.2,,0.0,38897.451,0.0,0.0,0.0,-509.0,
105481,-1847.3333333333333,0.0,1439.0,-1408.5,33169.5,0.0,310545.375,1772779.5,0.0,0.0,-22.0,
105561,-1437.3333333333333,0.0,264.0,-1568.8,7312.5,0.0,219839.5,208030.5,0.0,0.0,-5.0,
105701,-560.3333333333334,0.0,310.0,-158.0,,0.0,897001.5,609750.0,0.0,0.0,-24.0,
105717,-2814.0,0.0,-987.0,-1731.0,,0.0,1754010.0,0.0,0.0,0.0,-735.0,0.0
105721,,,,,,0.0,,0.0,,0.0,,
105764,-1021.5,0.0,989.0,-572.6666666666666,5355.0,0.0,585092.2050000001,83493.0,276507.0,0.0,-11.0,
105872,-272.0,0.0,5179.0,-120.0,0.0,0.0,1735684.3125,6718185.0,0.0,0.0,-19.0,
105879,-677.25,0.0,9882.0,-778.5,15554.115,1.0,137853.0,600996.465,0.0,0.0,-4.0,
105942,-870.6666666666666,0.0,31062.0,-495.0,0.0,0.0,175625.25,232893.0,0.0,0.0,-6.0,
105952,-606.5,0.0,458.0,-502.6666666666667,,0.0,186428.25,85284.0,0.0,0.0,-61.0,0.0
105983,-929.8888888888889,0.0,1732.0,-745.5,0.0,0.0,613376.5,1202850.0,0.0,0.0,-38.0,
105989,-1548.2222222222222,0.0,1356.0,-1046.2,,0.0,492311.5,857286.0,0.0,0.0,-20.0,
106113,-1478.8,0.0,-105.0,-586.5,0.0,0.0,519642.0,0.0,0.0,0.0,-101.0,
106117,-1142.0,0.0,-593.0,-593.0,0.0,0.0,155916.0,0.0,,0.0,-587.0,
106124,-655.625,0.0,728.0,-661.6,0.0,0.0,286037.9775,325603.125,450000.0,0.0,-21.0,0.0
106138,-1059.4,0.0,1425.0,-334.0,0.0,0.0,265500.0,542290.5,0.0,0.0,-24.0,
106153,-1117.3333333333333,0.0,1313.0,-870.75,0.0,0.0,537529.47,1292426.82,0.0,0.0,-51.0,
106159,-1142.5833333333333,0.0,31126.0,-1083.75,0.0,0.0,267221.88,1519479.0,0.0,0.0,-11.0,
106163,-1597.6,0.0,689.0,-1875.0,0.0,0.0,1157399.1,1335361.5,0.0,0.0,-25.0,
106268,-1759.6666666666667,0.0,-749.0,-1656.0,14760.0,0.0,171293.625,98527.5,299721.87,0.0,-19.0,
106312,-794.3333333333334,0.0,226.0,-688.75,9045.0,0.0,52438.74,67729.5,0.0,0.0,-14.0,
106316,-938.8333333333334,0.0,-463.0,-862.0,0.0,0.0,120250.17749999999,0.0,46316.34,0.0,-30.0,27479.9925
106325,-696.7142857142857,0.0,1734.0,-701.3333333333334,,0.0,319069.28571428574,844117.245,5890.905,0.0,-6.0,
106338,,,,,,0.0,,0.0,,0.0,,
106477,-804.0,0.0,-74.0,-470.0,,0.0,932400.0,0.0,0.0,0.0,-34.0,
106524,-1321.6,0.0,3.0,-954.0,,0.0,1247879.7,0.0,0.0,0.0,-14.0,0.0
106564,-462.0,0.0,638.0,,0.0,0.0,234164.25,230899.5,0.0,0.0,-21.0,
106606,-2199.0,0.0,-1835.0,-1835.0,0.0,0.0,234900.0,0.0,,0.0,-1828.0,
106643,-904.5384615384615,0.0,31071.0,-812.8571428571429,3539.25,0.0,112176.84461538462,180573.345,225000.0,0.0,-9.0,2980.197
106707,,,,,,0.0,,0.0,,0.0,,
106763,-1232.6666666666667,0.0,30988.0,-924.8,5273.37,0.0,134126.92500000002,57432.555,10067.445,0.0,-13.0,2742.903
106774,-892.4285714285714,0.0,1195.0,-266.0,0.0,0.0,133581.2142857143,255451.5,0.0,0.0,-26.0,
106840,-1267.0,0.0,5384.0,-798.6,,0.0,867079.9285714285,116743.5,0.0,0.0,-13.0,
106871,-665.8,0.0,7220.0,-488.6666666666667,0.0,0.0,1663650.0,7721307.0,0.0,0.0,-18.0,53554.5
106942,-490.5,0.0,806.0,-325.0,0.0,0.0,1043457.3,61850.565,0.0,0.0,-17.0,
106953,-1559.0,0.0,857.0,-1365.142857142857,0.0,0.0,318792.25,1001133.0,0.0,0.0,-15.0,
106961,-1362.0625,0.0,31058.0,-1483.8181818181818,0.0,0.0,232443.28125,1990332.0,2265.75,0.0,-14.0,10510.407000000001
106970,-1633.0,0.0,6537.0,-1089.0,0.0,0.0,3096955.575,0.0,0.0,0.0,-39.0,
106982,-1410.25,0.0,-114.0,-2042.0,0.0,0.0,87170.2875,70022.25,108000.0,0.0,-118.0,
106999,-509.0,0.0,738.0,,,0.0,97425.0,337680.0,0.0,0.0,-29.0,
107025,-640.0,0.0,-458.0,-489.0,,0.0,39771.0,0.0,0.0,0.0,-488.0,
107041,-1461.25,0.0,1651.0,-1338.0,6640.74,0.0,378348.75,907501.5,0.0,0.0,-6.0,25046.505
107137,,,,,,0.0,,0.0,,0.0,,
107190,-1098.0,0.0,1196.0,-989.2727272727273,0.0,0.0,367540.52464285714,174829.5,0.0,0.0,-3.0,1575.0
107258,-2260.5,0.0,8703.0,-435.5,13405.5,1.0,349875.0,0.0,,0.0,-425.0,
107291,-1157.7333333333333,0.0,6755.0,-996.7777777777778,0.0,0.0,797804.4,876114.0,450000.0,0.0,-32.0,20710.845
107330,-1006.1428571428571,0.0,885.0,-926.2,0.0,0.0,705930.5828571429,1445049.0,10598.4,0.0,-19.0,21845.571428571428
107404,-978.75,0.0,386.0,-918.3333333333334,0.0,0.0,147027.375,78660.0,0.0,0.0,-37.0,9193.5
107407,-1304.0,0.0,-1030.0,-1030.0,,0.0,43515.0,0.0,0.0,0.0,-1030.0,
107467,-170.0,0.0,1564.0,,0.0,0.0,963000.0,913801.41,0.0,0.0,-17.0,
107494,,,,,,0.0,,0.0,,0.0,,
107514,-380.0,0.0,10577.0,,0.0,0.0,450000.0,0.0,,0.0,-190.0,
107547,-1361.1176470588234,0.0,27484.0,-1266.5384615384614,18747.0,0.0,153687.3194117647,560678.355,8643.51,0.0,-8.0,
107618,-1276.2727272727273,0.0,31184.0,-1071.8333333333333,0.0,0.0,370648.5831818182,1846207.0350000001,1214108.415,0.0,-9.0,
107634,-405.3333333333333,0.0,1093.0,,21474.99,0.0,998100.0,2541554.865,0.0,0.0,-4.0,
107646,-718.6666666666666,0.0,-13.0,-353.0,0.0,0.0,190094.655,172395.0,144854.145,0.0,-20.0,
107661,-1516.6470588235295,0.0,30952.0,-1134.2,3117.015,3.0,333086.99294117646,2015895.96,8577.54,0.0,-4.0,423.52941176470586
107700,-651.0,0.0,1092.0,,,0.0,666000.0,939163.5,0.0,0.0,-61.0,32809.5
107716,-1312.0,0.0,2214.0,-870.75,1440.0,0.0,151569.64285714287,60435.0,0.0,0.0,-7.0,
107735,-1412.25,0.0,-1429.0,-1435.0,,0.0,868345.875,0.0,,0.0,-148.0,
107737,-892.7142857142857,0.0,1505.0,-916.0,0.0,0.0,146491.07142857142,366003.0,0.0,0.0,-31.0,
107752,-1493.5,0.0,1716.0,-1175.6666666666667,,0.0,676687.5,2207124.0,0.0,0.0,-35.0,
107830,-658.4545454545455,0.0,30964.0,-626.5714285714286,2595.15,0.0,157413.68181818182,1372540.5,0.0,0.0,-4.0,5338.227272727273
107888,-1633.625,0.0,31109.0,-1397.1666666666667,17815.5,0.0,218903.0625,69930.0,0.0,0.0,-26.0,1353.555
107899,-879.2,0.0,9999.0,-753.3333333333334,0.0,0.0,691522.2,847107.0,0.0,0.0,-10.0,30946.5
107926,-1436.4,0.0,9789.0,-1197.125,6489.0,0.0,722440.8,0.0,0.0,0.0,-9.0,18336.9375
107938,-1644.0,0.0,-373.0,-1531.4,0.0,0.0,142738.4325,0.0,0.0,0.0,-402.0,
107950,-402.0,0.0,-38.0,-38.0,,0.0,187533.0,0.0,0.0,0.0,-26.0,
107960,-1810.1666666666667,0.0,908.0,-1598.3333333333333,13500.0,0.0,498000.0,1087154.37,270149.13,0.0,-33.0,
107992,-944.0,0.0,12911.0,-409.75,0.0,0.0,832542.75,4074012.0,0.0,0.0,-7.0,
108002,,,,,,0.0,,0.0,,0.0,,
108176,-380.0,0.0,5127.0,-239.5,0.0,0.0,4868078.295,13583664.0,0.0,0.0,-26.0,
108255,-1274.0,0.0,215.0,-862.6,0.0,0.0,187032.75,43326.0,0.0,0.0,-67.0,12947.9175
108271,-1755.1818181818182,0.0,-277.0,-1534.3,0.0,0.0,81415.3540909091,0.0,0.0,0.0,-275.0,
108313,-660.0,0.0,-295.0,-325.0,,0.0,270000.0,0.0,0.0,0.0,-130.0,
108379,-1712.2857142857142,0.0,-440.0,-1285.0,19350.0,0.0,118613.39142857143,0.0,119442.78,36.0,-16.0,
108465,-863.0,0.0,-1.0,-553.0,,0.0,56654.775,3147.165,,0.0,-51.0,
108567,-1089.875,0.0,1442.0,-1031.0,,0.0,435273.75,1419421.5,0.0,0.0,-45.0,
108595,,,,,,0.0,,0.0,,0.0,,
108628,-1660.6,0.0,873.0,-1096.7777777777778,62011.17,0.0,138178.35,13925.52,836574.48,0.0,-301.0,
108681,-822.6666666666666,0.0,727.0,-680.0,0.0,0.0,285309.0,516532.5,0.0,0.0,-2.0,
108719,-752.0,0.0,5.0,,,0.0,900000.0,918166.5,0.0,0.0,-13.0,44185.5
108768,-786.1666666666666,0.0,30941.0,-506.5,1440.0,0.0,833658.0,5599876.5,333000.0,0.0,-27.0,18163.636363636364
108771,-1329.5,0.0,12786.0,-1291.6666666666667,0.0,0.0,195793.02000000002,264694.5,0.0,0.0,-7.0,
108782,-2784.0,0.0,-2539.0,-2529.0,,0.0,59904.0,0.0,,0.0,-2525.0,
108822,,,,,,0.0,,0.0,,0.0,,
108835,-1187.5,0.0,520.0,-2519.0,10794.825,0.0,441539.6625,714285.0,0.0,0.0,-7.0,
109106,-1318.4,0.0,6803.0,-1748.2,9603.0,0.0,375212.7,2304504.1799999997,4.365,0.0,-20.0,
109143,-1207.75,0.0,3639.0,-1332.3333333333333,,0.0,910734.75,3389989.5,0.0,0.0,-10.0,
109150,-916.5714285714286,0.0,1371.0,-1143.0,,0.0,1213638.4285714286,5230993.5,0.0,0.0,-13.0,
109160,-1133.0,0.0,2536.0,-967.0,0.0,0.0,320364.0,555475.5,29521.215,0.0,-16.0,
109164,,,,,,0.0,,0.0,,0.0,,
109260,-1739.125,0.0,707.0,-1315.5,0.0,0.0,316177.875,694777.5,0.0,0.0,-81.0,
109323,-214.5,0.0,31197.0,,0.0,0.0,2141644.5,495175.5,0.0,0.0,-14.0,
109355,-526.0,0.0,960.0,-875.0,6142.5,0.0,179857.125,158674.5,0.0,0.0,-18.0,
109369,-790.7777777777778,0.0,31061.0,-610.0,,0.0,806821.0,3520040.895,0.0,0.0,-4.0,
109383,-625.125,0.0,31029.0,-952.0,0.0,0.0,1088437.5,4612041.0,0.0,0.0,-5.0,24674.785714285714
109485,-1876.5,0.0,1032.0,-1608.0,,0.0,612000.0,208291.5,0.0,0.0,-186.0,
109492,-2205.75,0.0,10288.0,-2524.0,14400.0,0.0,157500.0,25775.01,266724.99,0.0,-41.0,
109512,-1494.0,0.0,447.0,-1913.5,0.0,0.0,539589.0,2341062.315,180073.35,0.0,-10.0,
109522,-1802.3333333333333,0.0,737.0,-1264.0,0.0,0.0,137845.5,593257.5,0.0,0.0,-33.0,7146.0
109533,-1511.9166666666667,0.0,31167.0,-1467.0,5288.67,0.0,195329.3175,500238.0,0.0,0.0,-9.0,
109552,-1100.3333333333333,0.0,2700.0,-999.0,,0.0,1732500.0,437845.5,0.0,0.0,-35.0,2394.0
109579,-899.0,0.0,30980.0,-232.0,2904.84,0.0,608326.5,1181826.0,0.0,0.0,-15.0,4020.0
109628,-1045.625,0.0,766.0,-1186.25,0.0,0.0,368820.5625,1863566.19,0.0,0.0,-4.0,62100.0
109672,-1305.5238095238096,0.0,1385.0,-1323.2666666666667,0.0,0.0,220678.13357142857,1038624.615,0.0,0.0,-12.0,3073.869
109692,-242.0,0.0,122.0,,0.0,0.0,54887.265,23427.045,0.0,0.0,-23.0,
109712,-925.0,0.0,898.0,-722.5,0.0,0.0,252440.43300000002,840460.5,0.0,0.0,-2.0,
109714,-1781.5555555555557,0.0,31153.0,-1401.125,16020.0,0.0,424931.5,-0.045,4500.045,0.0,-187.0,
109727,-359.5,0.0,31193.0,,0.0,0.0,264729.61125,885847.5,29688.48,0.0,-7.0,
109732,-1297.857142857143,0.0,31057.0,-1145.2,0.0,0.0,1111145.142857143,192802.5,0.0,0.0,-20.0,
109810,-957.5714285714286,0.0,31058.0,-1287.6666666666667,20817.0,0.0,166638.85714285713,76162.5,0.0,0.0,-12.0,
109811,-514.0,0.0,30916.0,-295.5,1440.0,0.0,416958.3,681187.5,0.0,0.0,-21.0,2075.1975
109864,-713.0,0.0,,,0.0,0.0,180000.0,0.0,180000.0,0.0,-6.0,18000.0
109867,-1159.4545454545455,0.0,1413.0,-824.625,0.0,0.0,98518.23409090909,466641.0,0.0,0.0,-25.0,12750.0
109894,-852.6666666666666,0.0,1681.0,-1018.0,0.0,0.0,291069.585,0.0,0.0,0.0,-19.0,
