SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
100344,0,Cash loans,M,N,N,0,112500,225000,14647.5,225000,Family,Commercial associate,Higher education,Married,House / apartment,0.032561,-11287,-3894,-3134,-3950,,1,1,0,1,1,0,Laborers,2,1,1,FRIDAY,14,0,0,0,0,0,0,Business Entity Type 3,0.2309,0.1795,0.9747,0.6532,0.028,0.32,0.2759,0.25,0.0417,0.0536,0.1883,0.2008,0,0,0.2353,0.1862,0.9747,0.6668,0.0282,0.3222,0.2759,0.25,0.0417,0.0548,0.2057,0.2092,0,0,0.2332,0.1795,0.9747,0.6578,0.0282,0.32,0.2759,0.25,0.0417,0.0545,0.1915,0.2044,0,0,reg oper account,block of flats,0.1601,Panel,No,0,0,0,0,-1499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
100390,0,Cash loans,F,N,N,0,90000,555273,14778,463500,Family,State servant,Higher education,Married,House / apartment,0.00702,-11799,-1228,-334,-3678,,1,1,0,1,0,0,High skill tech staff,2,2,2,FRIDAY,14,0,0,0,0,0,0,Transport: type 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,5,0,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
100407,0,Cash loans,F,N,N,0,157500,521280,26743.5,450000,Family,Working,Higher education,Married,House / apartment,0.031329,-11582,-3632,-5277,-1294,,1,1,1,1,1,0,Security staff,2,2,2,THURSDAY,13,0,0,0,0,0,0,Government,0.1031,0.1392,0.9896,,,0,0.2759,0.1667,,,0.0841,0.1142,0,0,0.105,0.1445,0.9896,,,0,0.2759,0.1667,,,0.0918,0.119,0,0,0.1041,0.1392,0.9896,,,0,0.2759,0.1667,,,0.0855,0.1163,0,0,reg oper account,block of flats,0.1002,Panel,No,0,0,0,0,-1129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100474,0,Revolving loans,M,Y,N,0,450000,900000,45000,900000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508,-23045,-2652,-1813,-4227,15,1,1,0,1,0,0,Managers,2,1,1,TUESDAY,14,0,0,0,0,0,0,Electricity,0.1515,0.056,0.9955,,,0.08,0.0345,1,,0,,0.3393,,0,0.1544,0.0581,0.9955,,,0.0806,0.0345,1,,0,,0.3535,,0,0.153,0.056,0.9955,,,0.08,0.0345,1,,0,,0.3454,,0,,block of flats,0.2669,Monolithic,No,1,0,1,0,-207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100611,0,Cash loans,F,N,N,0,135000,254700,16276.5,225000,Unaccompanied,Working,Higher education,Married,House / apartment,0.018634,-17437,-3443,-3072,-256,,1,1,0,1,0,0,Sales staff,2,2,2,THURSDAY,15,0,0,0,0,0,0,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1,-1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100612,0,Cash loans,F,Y,N,0,157500,1288350,37669.5,1125000,Family,Commercial associate,Higher education,Married,House / apartment,0.006671,-14573,-3569,-6268,-5016,19,1,1,1,1,0,0,Laborers,2,2,2,THURSDAY,19,0,0,0,0,0,0,Business Entity Type 3,0.0402,0.0325,0.9821,0.7552,0.0145,0,0.069,0.1667,0.0417,0.017,0.0328,0.0341,0.0039,0.0041,0.041,0.0337,0.9821,0.7648,0.0146,0,0.069,0.1667,0.0417,0.0174,0.0358,0.0355,0.0039,0.0043,0.0406,0.0325,0.9821,0.7585,0.0146,0,0.069,0.1667,0.0417,0.0173,0.0333,0.0347,0.0039,0.0042,not specified,block of flats,0.0356,"Stone, brick",No,2,0,2,0,-2620,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100686,0,Cash loans,F,N,N,0,135000,1125000,40410,1125000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.031329,-13137,-2582,-1325,-5308,,1,1,1,1,1,0,Core staff,2,2,2,WEDNESDAY,14,0,0,0,1,1,0,Security Ministries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-1727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100700,0,Cash loans,F,N,N,0,157500,526491,31482,454500,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.003069,-17342,-2053,-9052,-872,,1,1,0,1,0,0,Sales staff,2,3,3,SATURDAY,10,0,0,0,0,1,1,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,-1696,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
100704,0,Cash loans,F,N,N,0,90000,760500,22234.5,760500,Unaccompanied,State servant,Higher education,Married,House / apartment,0.028663,-17781,-7042,-6650,-1291,,1,1,1,1,1,0,Managers,2,2,2,SATURDAY,11,0,0,0,0,0,0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,-196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100749,0,Cash loans,F,N,N,0,171000,679500,19998,679500,Unaccompanied,Working,Higher education,Married,House / apartment,0.019689,-17016,-261,-1127,-543,,1,1,0,1,1,0,Sales staff,2,2,2,SUNDAY,17,0,0,0,0,0,0,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1610,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
100780,0,Cash loans,F,N,N,0,112500,679500,30834,679500,Unaccompanied,Working,Higher education,Married,House / apartment,0.009175,-10565,-1244,-5449,-2254,,1,1,0,1,0,0,Core staff,2,2,2,FRIDAY,16,0,0,0,1,1,0,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-1022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100786,0,Cash loans,F,N,N,0,270000,265851,11839.5,229500,Unaccompanied,Working,Higher education,Married,House / apartment,0.020713,-16625,-1890,-6371,-159,,1,1,0,1,1,0,,2,3,2,THURSDAY,7,0,0,0,0,0,0,School,0.0557,0.0716,0.9742,0.6464,0.0052,0,0.1034,0.1667,0.2083,0.0361,0.0429,0.0521,0.0116,0.0259,0.0567,0.0743,0.9742,0.6602,0.0053,0,0.1034,0.1667,0.2083,0.037,0.0468,0.0543,0.0117,0.0274,0.0562,0.0716,0.9742,0.6511,0.0053,0,0.1034,0.1667,0.2083,0.0368,0.0436,0.0531,0.0116,0.0264,reg oper account,block of flats,0.0495,"Stone, brick",No,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100788,0,Cash loans,F,N,N,0,112500,450000,47254.5,450000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.026392,-10114,-996,-4888,-2767,,1,1,0,1,0,0,Core staff,2,2,2,THURSDAY,19,0,0,0,0,0,0,Mobile,0.2227,,0.9851,,,0.24,0.2069,0.3333,,,,0.2383,,0,0.2269,,0.9851,,,0.2417,0.2069,0.3333,,,,0.2483,,0,0.2248,,0.9851,,,0.24,0.2069,0.3333,,,,0.2426,,0,,block of flats,0.2224,Panel,No,0,0,0,0,-751,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
100805,0,Cash loans,M,Y,N,0,270000,1098000,28962,1098000,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663,-11809,-1901,-5293,-4495,2,1,1,0,1,0,0,Managers,2,2,2,WEDNESDAY,9,0,0,0,0,0,0,Business Entity Type 3,0.1429,0.1072,0.9851,0.7552,0.0586,0.104,0.1034,0.325,0.3333,0.0581,0.1225,0.1382,0.0019,0.0235,0.0756,0.042,0.9861,0.8171,0.0229,0.1611,0.1034,0.3333,0.375,0,0.0661,0.0586,0,0,0.1124,0.1091,0.9861,0.7652,0.0644,0.12,0.1034,0.3333,0.375,0.0624,0.1261,0.1717,0,0,reg oper account,block of flats,0.1707,Panel,No,0,0,0,0,-401,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100811,0,Cash loans,M,N,N,0,180000,1649646,43645.5,1377000,Unaccompanied,Working,Higher education,Married,House / apartment,0.022625,-20220,-296,-6628,-3643,,1,1,0,1,1,0,Managers,2,2,2,WEDNESDAY,16,0,0,0,0,0,0,Business Entity Type 3,0.4,0.2267,0.9831,0.7688,0.2417,0.44,0.3793,0.3333,0.375,0.2964,0.3261,0.4096,0,0,0.4076,0.2353,0.9831,0.7779,0.2439,0.4431,0.3793,0.3333,0.375,0.3032,0.3563,0.4268,0,0,0.4039,0.2267,0.9831,0.7719,0.2432,0.44,0.3793,0.3333,0.375,0.3016,0.3318,0.417,0,0,reg oper account,block of flats,0.4538,Panel,No,2,0,2,0,-5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100855,0,Cash loans,M,Y,N,0,270000,770292,39330,688500,Unaccompanied,Working,Higher education,Married,House / apartment,0.014464,-16951,-2435,-2057,-312,14,1,1,1,1,1,0,Drivers,2,2,2,MONDAY,5,0,0,0,0,0,0,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100895,0,Cash loans,F,N,N,0,135000,675000,35964,675000,Unaccompanied,Working,Higher education,Married,House / apartment,0.031329,-16054,-8026,-2992,-4389,,1,1,1,1,0,0,High skill tech staff,2,2,2,THURSDAY,10,0,0,0,0,0,0,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-1347,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100939,0,Cash loans,F,N,N,0,67500,673875,19831.5,562500,Family,Working,Higher education,Married,House / apartment,0.020246,-16683,-1684,-3320,-220,,1,1,0,1,0,0,Medicine staff,2,3,3,FRIDAY,13,0,0,0,0,0,0,Medicine,0.0309,0,0.9732,0.6328,0.0336,0,0.1379,0.0833,0.125,0.0358,0.0235,0.0359,0.0077,0.0093,0.0315,0,0.9732,0.6472,0.0339,0,0.1379,0.0833,0.125,0.0366,0.0257,0.0374,0.0078,0.0099,0.0312,0,0.9732,0.6377,0.0338,0,0.1379,0.0833,0.125,0.0364,0.0239,0.0365,0.0078,0.0095,reg oper account,block of flats,0.0302,"Stone, brick",No,1,0,1,0,-2394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101060,0,Cash loans,M,N,N,0,270000,1546020,45202.5,1350000,Unaccompanied,Working,Higher education,Married,Municipal apartment,0.008625,-13928,-1164,-447,-4175,,1,1,1,1,1,0,,2,2,2,MONDAY,12,0,0,0,0,0,0,Business Entity Type 3,0.2103,0.104,0.998,0.966,0.0921,0.16,0.069,0.6667,0.7083,0.1467,0.1715,0.2707,,0.0094,0.2143,0.108,0.998,0.9673,0.093,0.1611,0.069,0.6667,0.7083,0.1501,0.1873,0.2821,,0.0099,0.2123,0.104,0.998,0.9665,0.0927,0.16,0.069,0.6667,0.7083,0.1493,0.1744,0.2756,,0.0096,reg oper account,block of flats,0.2811,Panel,No,0,0,0,0,-789,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101083,0,Cash loans,F,N,N,0,117000,450000,20979,450000,Unaccompanied,State servant,Higher education,Married,House / apartment,0.018209,-10476,-1235,-615,-1389,,1,1,1,1,0,0,,2,3,3,THURSDAY,17,0,0,0,0,0,0,Business Entity Type 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,-1279,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101209,0,Revolving loans,M,Y,N,0,180000,540000,27000,540000,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.025164,-18800,-5516,-5862,-2306,7,1,1,0,1,0,0,Laborers,2,2,2,MONDAY,12,0,0,0,0,0,0,Other,0.0619,0.0415,0.9757,0.6668,0.0081,0,0.1034,0.1667,0.2083,0.05,0.0504,0.0502,0.0039,0.0052,0.063,0.0431,0.9757,0.6798,0.0082,0,0.1034,0.1667,0.2083,0.0512,0.0551,0.0523,0.0039,0.0055,0.0625,0.0415,0.9757,0.6713,0.0082,0,0.1034,0.1667,0.2083,0.0509,0.0513,0.0511,0.0039,0.0053,reg oper account,block of flats,0.0451,"Stone, brick",No,,,,,-1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101229,0,Cash loans,F,N,N,0,135000,900000,29164.5,900000,Unaccompanied,Working,Higher education,Married,Rented apartment,0.020246,-9127,-556,-3856,-1718,,1,1,1,1,0,0,,2,3,3,FRIDAY,18,1,1,0,1,1,0,Business Entity Type 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-819,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
